# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2019-Mar-14 09:46:19 -05
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	10	-4084.330000	0.094868
2	10	-3800.470000	0.194651
3	10	-3755.730000	6.799355
4	10	-3731.570000	1.560662
5	10	-3732.530000	0.884496
6	10	-3736.760000	1.099697
7	10	-3742.500000	1.356466
8	10	-3746.440000	2.390351
9	10	-3748.570000	1.446874
10	10	-3753.170000	1.457586
11	10	-3757.180000	1.587311
12	10	-3761.280000	1.645735
13	10	-3769.520000	12.447026
14	10	-3773.740000	2.069997
15	10	-3775.560000	2.959054

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
structure_k1-10_f		1	-4084.3	-4051.9	64.9
structure_k1-2_f		1	-4084.3	-4051.9	64.8
structure_k1-6_f		1	-4084.3	-4051.9	64.9
structure_k1-7_f		1	-4084.5	-4051.8	65.3
structure_k1-9_f		1	-4084.4	-4051.9	65.1
structure_k1-3_f		1	-4084.4	-4051.9	65.0
structure_k1-4_f		1	-4084.3	-4051.9	65.0
structure_k1-1_f		1	-4084.2	-4051.9	64.7
structure_k1-8_f		1	-4084.2	-4051.9	64.7
structure_k1-5_f		1	-4084.4	-4051.8	65.1
structure_k2-9_f		2	-3800.3	-3723.9	152.7
structure_k2-7_f		2	-3800.4	-3723.9	152.9
structure_k2-2_f		2	-3800.5	-3723.9	153.1
structure_k2-5_f		2	-3800.7	-3724.0	153.4
structure_k2-1_f		2	-3800.6	-3724.0	153.2
structure_k2-10_f		2	-3800.3	-3723.9	152.7
structure_k2-8_f		2	-3800.6	-3724.1	153.2
structure_k2-4_f		2	-3800.1	-3723.8	152.6
structure_k2-6_f		2	-3800.5	-3723.9	153.0
structure_k2-3_f		2	-3800.7	-3724.1	153.3
structure_k3-7_f		3	-3752.8	-3617.2	271.2
structure_k3-2_f		3	-3752.8	-3617.3	270.9
structure_k3-3_f		3	-3752.2	-3617.1	270.4
structure_k3-5_f		3	-3752.4	-3617.2	270.6
structure_k3-1_f		3	-3755.3	-3617.7	275.2
structure_k3-6_f		3	-3751.8	-3617.1	269.5
structure_k3-9_f		3	-3753.6	-3617.3	272.7
structure_k3-10_f		3	-3774.4	-3674.3	200.2
structure_k3-8_f		3	-3757.8	-3617.9	279.7
structure_k3-4_f		3	-3754.2	-3617.5	273.3
structure_k4-8_f		4	-3729.5	-3571.9	315.2
structure_k4-6_f		4	-3733.9	-3572.9	322.0
structure_k4-3_f		4	-3732.9	-3572.6	320.6
structure_k4-10_f		4	-3731.6	-3572.0	319.2
structure_k4-5_f		4	-3731.6	-3572.2	318.8
structure_k4-1_f		4	-3733.0	-3572.7	320.5
structure_k4-2_f		4	-3730.8	-3572.2	317.2
structure_k4-9_f		4	-3731.9	-3572.7	318.2
structure_k4-4_f		4	-3728.8	-3571.9	313.8
structure_k4-7_f		4	-3731.7	-3572.5	318.4
structure_k5-1_f		5	-3731.5	-3562.4	338.4
structure_k5-3_f		5	-3731.2	-3562.0	338.3
structure_k5-4_f		5	-3734.0	-3562.4	343.1
structure_k5-2_f		5	-3732.5	-3562.3	340.5
structure_k5-9_f		5	-3733.4	-3562.6	341.6
structure_k5-10_f		5	-3732.2	-3562.1	340.1
structure_k5-6_f		5	-3731.8	-3562.4	338.8
structure_k5-7_f		5	-3732.7	-3562.5	340.4
structure_k5-5_f		5	-3732.7	-3562.5	340.2
structure_k5-8_f		5	-3733.3	-3562.3	341.9
structure_k6-9_f		6	-3735.3	-3559.5	351.5
structure_k6-6_f		6	-3735.9	-3559.4	353.0
structure_k6-2_f		6	-3736.5	-3560.3	352.4
structure_k6-8_f		6	-3737.7	-3560.0	355.4
structure_k6-10_f		6	-3737.6	-3559.7	355.8
structure_k6-1_f		6	-3737.4	-3560.1	354.5
structure_k6-7_f		6	-3735.9	-3559.9	351.9
structure_k6-3_f		6	-3736.2	-3559.7	353.1
structure_k6-5_f		6	-3736.2	-3559.9	352.7
structure_k6-4_f		6	-3738.9	-3560.6	356.4
structure_k7-8_f		7	-3740.9	-3560.2	361.4
structure_k7-3_f		7	-3743.5	-3560.3	366.4
structure_k7-4_f		7	-3742.5	-3560.6	363.9
structure_k7-7_f		7	-3742.7	-3560.4	364.6
structure_k7-9_f		7	-3740.8	-3560.4	360.7
structure_k7-6_f		7	-3741.6	-3560.7	362.0
structure_k7-1_f		7	-3745.0	-3561.1	367.9
structure_k7-5_f		7	-3743.6	-3560.7	366.0
structure_k7-10_f		7	-3743.1	-3560.5	365.3
structure_k7-2_f		7	-3741.3	-3560.1	362.4
structure_k8-5_f		8	-3743.7	-3561.6	364.3
structure_k8-3_f		8	-3745.7	-3562.1	367.2
structure_k8-6_f		8	-3744.2	-3561.8	365.0
structure_k8-1_f		8	-3747.2	-3562.5	369.4
structure_k8-4_f		8	-3742.7	-3561.2	363.0
structure_k8-10_f		8	-3750.1	-3562.2	375.8
structure_k8-9_f		8	-3749.4	-3562.5	373.7
structure_k8-2_f		8	-3746.8	-3562.2	369.2
structure_k8-7_f		8	-3747.4	-3561.6	371.5
structure_k8-8_f		8	-3747.2	-3562.1	370.3
structure_k9-2_f		9	-3748.0	-3563.8	368.5
structure_k9-10_f		9	-3747.3	-3563.5	367.4
structure_k9-8_f		9	-3747.9	-3564.2	367.3
structure_k9-6_f		9	-3750.9	-3563.8	374.1
structure_k9-1_f		9	-3751.1	-3563.9	374.4
structure_k9-7_f		9	-3749.2	-3563.8	370.8
structure_k9-9_f		9	-3747.1	-3563.9	366.6
structure_k9-5_f		9	-3749.0	-3563.7	370.7
structure_k9-3_f		9	-3747.6	-3563.6	368.0
structure_k9-4_f		9	-3747.6	-3564.0	367.2
structure_k10-3_f		10	-3755.9	-3566.5	378.7
structure_k10-7_f		10	-3752.1	-3566.7	370.7
structure_k10-8_f		10	-3754.3	-3566.1	376.6
structure_k10-10_f		10	-3751.2	-3565.9	370.5
structure_k10-2_f		10	-3754.5	-3566.2	376.7
structure_k10-5_f		10	-3753.7	-3566.5	374.6
structure_k10-4_f		10	-3751.9	-3566.5	370.8
structure_k10-9_f		10	-3752.5	-3566.4	372.2
structure_k10-6_f		10	-3752.1	-3566.6	371.1
structure_k10-1_f		10	-3753.5	-3566.1	374.9
structure_k11-8_f		11	-3756.6	-3568.5	376.3
structure_k11-7_f		11	-3760.0	-3568.7	382.6
structure_k11-4_f		11	-3755.4	-3568.4	373.9
structure_k11-5_f		11	-3758.1	-3568.6	379.1
structure_k11-9_f		11	-3757.4	-3568.6	377.7
structure_k11-2_f		11	-3759.1	-3568.7	380.9
structure_k11-1_f		11	-3755.5	-3568.4	374.2
structure_k11-10_f		11	-3756.4	-3568.6	375.5
structure_k11-6_f		11	-3755.5	-3568.3	374.4
structure_k11-3_f		11	-3757.8	-3568.1	379.3
structure_k12-6_f		12	-3759.4	-3570.9	377.0
structure_k12-3_f		12	-3760.1	-3571.3	377.6
structure_k12-8_f		12	-3760.7	-3571.2	379.0
structure_k12-1_f		12	-3763.4	-3571.1	384.7
structure_k12-5_f		12	-3763.6	-3571.7	383.9
structure_k12-2_f		12	-3762.4	-3571.0	382.8
structure_k12-4_f		12	-3761.6	-3571.3	380.5
structure_k12-7_f		12	-3758.9	-3570.3	377.1
structure_k12-10_f		12	-3762.4	-3571.2	382.5
structure_k12-9_f		12	-3760.3	-3570.8	379.0
structure_k13-6_f		13	-3765.6	-3573.4	384.5
structure_k13-5_f		13	-3762.1	-3572.5	379.2
structure_k13-1_f		13	-3767.1	-3573.6	386.9
structure_k13-4_f		13	-3768.6	-3574.2	388.7
structure_k13-7_f		13	-3804.4	-3665.4	278.1
structure_k13-3_f		13	-3766.2	-3573.8	384.8
structure_k13-8_f		13	-3762.0	-3572.7	378.6
structure_k13-2_f		13	-3765.6	-3573.5	384.3
structure_k13-9_f		13	-3768.0	-3574.2	387.6
structure_k13-10_f		13	-3765.6	-3574.1	383.0
structure_k14-7_f		14	-3771.1	-3576.5	389.2
structure_k14-10_f		14	-3776.9	-3577.2	399.3
structure_k14-8_f		14	-3772.3	-3576.9	390.8
structure_k14-6_f		14	-3772.7	-3577.2	391.2
structure_k14-3_f		14	-3773.5	-3576.5	394.1
structure_k14-5_f		14	-3773.5	-3576.9	393.2
structure_k14-4_f		14	-3776.3	-3577.0	398.6
structure_k14-9_f		14	-3771.0	-3576.9	388.3
structure_k14-1_f		14	-3774.4	-3576.5	395.7
structure_k14-2_f		14	-3775.7	-3576.7	398.0
structure_k15-5_f		15	-3774.1	-3578.8	390.5
structure_k15-9_f		15	-3773.6	-3578.4	390.3
structure_k15-8_f		15	-3773.7	-3578.5	390.5
structure_k15-1_f		15	-3777.7	-3579.6	396.1
structure_k15-4_f		15	-3781.5	-3579.8	403.5
structure_k15-3_f		15	-3778.4	-3579.0	398.8
structure_k15-7_f		15	-3773.1	-3578.8	388.7
structure_k15-10_f		15	-3774.4	-3578.6	391.7
structure_k15-6_f		15	-3772.1	-3578.5	387.2
structure_k15-2_f		15	-3777.0	-3579.2	395.7

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vA.2 July 2014
